No.,Time,Source,Destination,Time2,Time1,Delay,Delay2,Delay1,Jitter,,,,
203,13.890612,51.143.105.194,192.168.1.139,13.890663,13.890612,5.10E-05,7.60E-05,-2.50E-05,0.000101,,,,
204,13.890663,192.168.1.139,51.143.105.194,13.890739,13.890663,7.60E-05,0,7.60E-05,-7.60E-05,,,,
205,13.890739,51.143.105.194,192.168.1.139,13.890739,13.890739,0,4.40E-05,-4.40E-05,8.80E-05,,,,
206,13.890739,51.143.105.194,192.168.1.139,13.890783,13.890739,4.40E-05,0.011513,-0.011469,0.022982,,,,
207,13.890783,192.168.1.139,51.143.105.194,13.902296,13.890783,0.011513,0.001017,0.010496,-0.009479,,,,
208,13.902296,192.168.1.139,51.143.105.194,13.903313,13.902296,0.001017,0,0.001017,-0.001017,,,,
209,13.903313,192.168.1.139,51.143.105.194,13.903313,13.903313,0,0,0,0,,,,
210,13.903313,192.168.1.139,51.143.105.194,13.903313,13.903313,0,0.089593,-0.089593,0.179186,,,,
211,13.903313,192.168.1.139,51.143.105.194,13.992906,13.903313,0.089593,0.004586,0.085007,-0.080421,,,,
212,13.992906,216.98.50.146,192.168.1.139,13.997492,13.992906,0.004586,7.30E-05,0.004513,-0.00444,,,,
213,13.997492,40.90.9.180,192.168.1.139,13.997565,13.997492,7.30E-05,0.000982,-0.000909,0.001891,,,,
214,13.997565,192.168.1.139,40.90.9.180,13.998547,13.997565,0.000982,7.80E-05,0.000904,-0.000826,,,,
215,13.998547,40.90.9.180,192.168.1.139,13.998625,13.998547,7.80E-05,0.000122,-4.40E-05,0.000166,,,,
216,13.998625,192.168.1.139,40.90.9.180,13.998747,13.998625,0.000122,0,0.000122,-0.000122,,,,
217,13.998747,40.90.9.180,192.168.1.139,13.998747,13.998747,0,6.40E-05,-6.40E-05,0.000128,,,,
218,13.998747,40.90.9.180,192.168.1.139,13.998811,13.998747,6.40E-05,0.003182,-0.003118,0.0063,,,,
219,13.998811,192.168.1.139,40.90.9.180,14.001993,13.998811,0.003182,0.004304,-0.001122,0.005426,,,,
220,14.001993,216.98.50.146,192.168.1.139,14.006297,14.001993,0.004304,0.0005,0.003804,-0.003304,,,,
221,14.006297,192.168.1.139,40.90.9.180,14.006797,14.006297,0.0005,0,0.0005,-0.0005,,,,
222,14.006797,192.168.1.139,40.90.9.180,14.006797,14.006797,0,0.016264,-0.016264,0.032528,,,,
223,14.006797,192.168.1.139,40.90.9.180,14.023061,14.006797,0.016264,7.20E-05,0.016192,-0.01612,,,,
224,14.023061,20.110.86.75,192.168.1.139,14.023133,14.023061,7.20E-05,0.000113,-4.10E-05,0.000154,,,,
225,14.023133,192.168.1.139,20.110.86.75,14.023246,14.023133,0.000113,0,0.000113,-0.000113,,,,
226,14.023246,20.110.86.75,192.168.1.139,14.023246,14.023246,0,4.70E-05,-4.70E-05,9.40E-05,,,,
227,14.023246,20.110.86.75,192.168.1.139,14.023293,14.023246,4.70E-05,6.90E-05,-2.20E-05,9.10E-05,,,,
228,14.023293,192.168.1.139,20.110.86.75,14.023362,14.023293,6.90E-05,0,6.90E-05,-6.90E-05,,,,
229,14.023362,20.110.86.75,192.168.1.139,14.023362,14.023362,0,3.70E-05,-3.70E-05,7.40E-05,,,,
230,14.023362,20.110.86.75,192.168.1.139,14.023399,14.023362,3.70E-05,0.009859,-0.009822,0.019681,,,,
231,14.023399,192.168.1.139,20.110.86.75,14.033258,14.023399,0.009859,0.000517,0.009342,-0.008825,,,,
232,14.033258,192.168.1.139,20.110.86.75,14.033775,14.033258,0.000517,0,0.000517,-0.000517,,,,
233,14.033775,192.168.1.139,20.110.86.75,14.033775,14.033775,0,0.001584,-0.001584,0.003168,,,,
234,14.033775,192.168.1.139,20.110.86.75,14.035359,14.033775,0.001584,0.013616,-0.012032,0.025648,,,,
235,14.035359,192.168.1.139,192.168.1.1,14.048975,14.035359,0.013616,0.001334,0.012282,-0.010948,,,,
236,14.048975,192.168.1.139,216.98.50.146,14.050309,14.048975,0.001334,0.00302,-0.001686,0.004706,,,,
237,14.050309,192.168.1.1,192.168.1.139,14.053329,14.050309,0.00302,0.012819,-0.009799,0.022618,,,,
